GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,team,team_id,players_list,PLAYERS_EXTRACTED,LINEUP_SCORING_TALENT,LINEUP_PLAYMAKING_TALENT,LINEUP_REBOUNDING_TALENT,LINEUP_DEFENSIVE_TALENT,LINEUP_NET_RATING_TALENT
Lineups,-203925-1628963-1630165-1631093-1641709-,J. Harris - M. Bagley III - K. Hayes - J. Ivey - A. Thompson,1,0,1,0.0,6.33,6,19,0.316,2,8,0.25,3,3,1.0,10,3,13,3,2.0,0,0,1,3,2,17,-1.0,362,232,115,232,144,122,77,543,92,62,323,121,165,1,9,199,43,152,857,284,228,814,901,167,125,668,18990,Detroit Pistons,1610612765,"['J. Harris', 'M. Bagley III', 'K. Hayes', 'J. Ivey', 'A. Thompson']","['j. harris', 'm. bagley iii', 'k. hayes', 'j. ivey', 'a. thompson']",0.02708675,1.275,4.675,1.025,-3.775000000000002
Lineups,-202692-1630164-1630587-1630595-1631093-,A. Burks - J. Wiseman - I. Livers - C. Cunningham - J. Ivey,5,0,5,0.0,6.283333,5,12,0.417,1,4,0.25,2,2,1.0,1,4,5,2,3.0,2,1,2,4,2,13,-7.0,16,232,1052,232,145,150,132,417,189,151,323,169,201,1,154,150,164,224,956,46,63,989,962,167,169,988,18850,Detroit Pistons,1610612765,"['A. Burks', 'J. Wiseman', 'I. Livers', 'C. Cunningham', 'J. Ivey']","['a. burks', 'j. wiseman', 'i. livers', 'c. cunningham', 'j. ivey']",0.102712,1.0,3.3,0.4,38.69999999999999
Lineups,-1628972-1629002-1630595-1631105-1631204-,T. Brown Jr. - C. Metu - C. Cunningham - J. Duren - M. Sasser,1,0,1,0.0,6.266667,4,11,0.364,2,6,0.333,2,2,1.0,2,3,5,2,1.0,0,1,0,4,1,12,-5.0,362,232,115,232,146,193,152,475,92,97,261,169,201,1,87,199,164,224,613,284,63,1,962,272,188,926,18800,Detroit Pistons,1610612765,"['T. Brown Jr.', 'C. Metu', 'C. Cunningham', 'J. Duren', 'M. Sasser']","['t. brown jr.', 'c. metu', 'c. cunningham', 'j. duren', 'm. sasser']",0.0948,1.1,6.8,1.7000000000000002,0.0
Lineups,-201568-202692-1631093-1631204-1641709-,D. Gallinari - A. Burks - J. Ivey - M. Sasser - A. Thompson,3,1,2,0.333,6.263333,7,10,0.7,1,1,1.0,4,4,1.0,0,4,4,2,1.0,0,0,0,3,3,19,3.0,71,23,771,173,147,102,165,110,189,408,1,70,102,1,334,150,208,224,613,284,228,1,901,105,108,118,18790,Detroit Pistons,1610612765,"['D. Gallinari', 'A. Burks', 'J. Ivey', 'M. Sasser', 'A. Thompson']","['d. gallinari', 'a. burks', 'j. ivey', 'm. sasser', 'a. thompson']",0.0434133333333333,0.9,2.766666666666667,0.3333333333333333,16.733333333333324
Lineups,-202692-1630164-1630165-1630587-1630649-,A. Burks - J. Wiseman - K. Hayes - I. Livers - S. Umude,1,0,1,0.0,6.253333,2,10,0.2,1,6,0.167,5,6,0.833,1,4,5,1,3.0,1,0,1,3,3,10,-8.0,362,232,115,232,148,338,165,591,189,97,366,54,57,221,154,150,164,344,956,111,228,814,901,105,232,1010,18760,Detroit Pistons,1610612765,"['A. Burks', 'J. Wiseman', 'K. Hayes', 'I. Livers', 'S. Umude']","['a. burks', 'j. wiseman', 'k. hayes', 'i. livers', 's. umude']",0.0516169999999999,0.65,3.15,0.2,13.449999999999996
Lineups,-202692-1630165-1630191-1631105-1641709-,A. Burks - K. Hayes - I. Stewart - J. Duren - A. Thompson,4,2,2,0.5,6.246667,2,10,0.2,1,5,0.2,6,8,0.75,2,8,10,2,1.0,1,1,2,3,6,11,3.0,39,5,771,118,149,338,165,591,189,122,359,40,34,251,87,66,74,224,613,111,63,989,901,37,213,118,18740,Detroit Pistons,1610612765,"['A. Burks', 'K. Hayes', 'I. Stewart', 'J. Duren', 'A. Thompson']","['a. burks', 'k. hayes', 'i. stewart', 'j. duren', 'a. thompson']",0.0366313333333333,0.7666666666666666,2.766666666666667,0.3333333333333333,13.733333333333327
Lineups,-202692-1630191-1630595-1631093-1631105-,A. Burks - I. Stewart - C. Cunningham - J. Ivey - J. Duren,5,2,3,0.4,6.208333,4,8,0.5,0,0,0.0,4,4,1.0,0,4,4,2,8.0,2,1,0,6,6,12,2.0,16,5,964,169,150,193,217,241,385,602,385,70,102,1,334,150,208,224,1051,46,63,1,1013,37,188,163,18625,Detroit Pistons,1610612765,"['A. Burks', 'I. Stewart', 'C. Cunningham', 'J. Ivey', 'J. Duren']","['a. burks', 'i. stewart', 'c. cunningham', 'j. ivey', 'j. duren']",0.102712,1.0,3.3,0.4,38.69999999999999
Lineups,-1629002-1630164-1630201-1631197-1631205-,C. Metu - J. Wiseman - M. Flynn - J. Rhoden - B. Boeheim,2,0,2,0.0,6.205,5,12,0.417,3,6,0.5,3,3,1.0,1,3,4,2,1.0,0,1,2,2,3,16,2.0,154,232,771,232,151,150,132,417,51,97,131,121,165,1,154,199,208,224,613,284,63,989,776,105,135,163,18615,Detroit Pistons,1610612765,"['C. Metu', 'J. Wiseman', 'M. Flynn', 'J. Rhoden', 'B. Boeheim']","['c. metu', 'j. wiseman', 'm. flynn', 'j. rhoden', 'b. boeheim']",0.0,0.0,0.0,0.0,0.0
Lineups,-203095-1629002-1630164-1630595-1631093-,E. Fournier - C. Metu - J. Wiseman - C. Cunningham - J. Ivey,2,0,2,0.0,6.198333,4,9,0.444,0,4,0.0,2,3,0.667,0,6,6,3,2.0,1,2,1,3,2,10,-4.0,154,232,771,232,152,193,191,375,385,151,385,169,165,289,334,99,134,152,857,111,31,814,901,167,232,880,18595,Detroit Pistons,1610612765,"['E. Fournier', 'C. Metu', 'J. Wiseman', 'C. Cunningham', 'J. Ivey']","['e. fournier', 'c. metu', 'j. wiseman', 'c. cunningham', 'j. ivey']",0.0,0.0,0.0,0.0,0.0
Lineups,-201959-1630649-1631093-1631105-1631204-,T. Gibson - S. Umude - J. Ivey - J. Duren - M. Sasser,1,0,1,0.0,6.183333,5,10,0.5,1,4,0.25,2,2,1.0,0,6,6,4,3.0,1,0,1,3,1,13,-1.0,362,232,115,232,153,150,165,241,189,151,323,169,201,1,334,99,134,110,956,111,228,814,901,272,169,668,18550,Detroit Pistons,1610612765,"['T. Gibson', 'S. Umude', 'J. Ivey', 'J. Duren', 'M. Sasser']","['t. gibson', 's. umude', 'j. ivey', 'j. duren', 'm. sasser']",0.0,0.0,0.0,0.0,0.0
